ID,name,lon,lat
1,济南,117,36.65
2,历城,117.07,36.69
3,长清,116.73,36.55
4,章丘,117.53,36.72
5,青岛,120.33,36.07
6,崂山,120.42,36.15
7,胶南,119.97,35.88
8,即墨,120.45,36.38
9,胶县,120,36.28
10,淄博,118.05,36.78
11,枣庄,117.57,34.86
12,滕县,117.17,35
13,东营,118.49,37.46
14,垦利,118.54,37.59
15,利津,118.25,37.49
16,德州,116.29,37.45
17,宁津,116.8,37.64
18,乐陵,117.22,37.74
19,商河,117.15,37.31
20,济阳,117.2,36.97
21,禹城,116.66,36.95
22,夏津,116,36.95
23,陵县,116.58,37.34
24,庆云,117.37,37.37
25,临邑,116.86,37.2
26,齐河,116.76,36.79
27,平原,116.44,37.16
28,武城,116.08,37.2
29,滨州,118.03,37.36
30,滨县,117.97,37.47
31,广饶,118.41,37.04
32,桓台,118.12,36.95
33,邹平,117.75,36.89
34,阳信,117.58,37.65
35,沾化,118.14,37.7
36,博兴,118.12,37.12
37,高青,117.66,37.18
38,惠民,117.51,37.49
39,无棣,117.58,37.73
40,潍坊,119.1,36.62
41,潍县,119.22,36.77
42,平度,119.97,36.77
43,诸城,119.42,35.99
44,安丘,119.2,36.4
45,临朐,118.53,36.5
46,寿光,118.73,36.86
47,昌邑,119.41,36.86
48,高密,119.75,36.38
49,五莲,119.2,35.74
50,昌乐,118.83,36.69
51,高都,118.47,36.69
52,烟台,121.39,37.52
53,牟平,121.59,37.38
54,文登,122.05,37
55,海阳,121.17,36.76
56,莱阳,120.71,36.97
57,栖霞,120.83,37.28
58,掖县,119.93,37.18
59,长岛,120.73,37.91
60,威海,122.1,37.5
61,福山,121.27,37.49
62,荣成,122.41,37.16
63,乳山,121.52,36.89
64,莱西,120.53,36.86
65,招远,120.38,37.35
66,黄县,120.51,37.64
67,蓬莱,120.75,37.8
68,临沂,118.35,35.05
69,沂水,118.64,35.78
70,日照,119.46,35.42
71,临沭,118.73,34.89
72,仓山,118.03,34.84
73,平邑,117.63,35.49
74,沂源,118.17,36.18
75,沂南,118.47,35.54
76,营县,118.83,35.57
77,莒南,118.83,35.17
78,郯城,118.35,34.61
79,费县,117.97,35.26
80,蒙阴,117.95,35.7
81,泰安,117.13,36.18
82,莱芜,117.67,36.19
83,肥城,116.76,36.24
84,平阴,116.46,36.29
85,新汶,117.67,35.86
86,新泰,117.76,35.91
87,宁阳,116.8,35.76
88,东平,116.3,35.91
89,济宁,116.59,35.38
90,兖州,116.83,35.54
91,泗水,117.27,35.65
92,鱼台,116.65,35
93,嘉祥,116.34,35.41
94,汶上,116.49,35.71
95,曲阜,116.98,35.59
96,邹县,116.97,35.39
97,微山,117.12,34.8
98,金乡,116.32,35.07
99,荷泽,115.43,35.24
100,郓城,115.94,35.59
101,巨野,116.08,35.38
102,单县,116.07,34.82
103,曹县,115.53,34.83
104,鄄城,115.5,35.57
105,梁山,116.1,35.8
106,成武,115.88,34.97
107,定陶,115.57,35.07
108,东明,115.08,35.31
109,聊城,115.97,36.45
110,高唐,116.23,36.86
111,东阿,116.23,36.32
112,莘县,115.67,36.24
113,临清,115.72,36.68
114,茌平,116.27,36.58
115,阳谷,115.78,36.11
116,冠县,115.45,35.47
